"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2016"	"2016"	"Ill-defined sites within the digestive system - Malignant neoplasms"	"C26.9"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Supraglottis - Malignant neoplasms"	"C32.1"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	62	4863300	1.3
	"Alabama"	"01"	"2016"	"2016"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	47	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Lower lobe, bronchus or lung - Malignant neoplasms"	"C34.3"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	2931	4863300	60.3
	"Alabama"	"01"	"2016"	"2016"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	34	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	126	4863300	2.6
	"Alabama"	"01"	"2016"	"2016"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of skin, unspecified - Malignant neoplasms"	"C44.9"	33	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Peritoneum, unspecified - Malignant neoplasms"	"C48.2"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	58	4863300	1.2
	"Alabama"	"01"	"2016"	"2016"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	676	4863300	13.9
	"Alabama"	"01"	"2016"	"2016"	"Vulva, unspecified - Malignant neoplasms"	"C51.9"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	86	4863300	1.8
	"Alabama"	"01"	"2016"	"2016"	"Endometrium - Malignant neoplasms"	"C54.1"	74	4863300	1.5
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of uterus, part unspecified"	"C55"	54	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of ovary"	"C56"	244	4863300	5.0
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of prostate"	"C61"	512	4863300	10.5
	"Alabama"	"01"	"2016"	"2016"	"Testis, unspecified - Malignant neoplasms"	"C62.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	218	4863300	4.5
	"Alabama"	"01"	"2016"	"2016"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	237	4863300	4.9
	"Alabama"	"01"	"2016"	"2016"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	274	4863300	5.6
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm of thyroid gland"	"C73"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Head, face and neck - Malignant neoplasms"	"C76.0"	26	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms"	"C78.6"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms"	"C79.3"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms"	"C79.5"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	74	4863300	1.5
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasm without specification of site"	"C80"	485	4863300	10.0
	"Alabama"	"01"	"2016"	"2016"	"Hodgkin disease, unspecified"	"C81.9"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Follicular non-Hodgkin lymphoma, unspecified"	"C82.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-Hodgkin lymphoma small cleaved cell (diffuse)"	"C83.1"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	42	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Other and unspecified T-cell lymphomas - Malignant neoplasms"	"C84.5"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	45	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	164	4863300	3.4
	"Alabama"	"01"	"2016"	"2016"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	208	4863300	4.3
	"Alabama"	"01"	"2016"	"2016"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	53	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Lymphoid leukaemia, unspecified - Malignant neoplasms"	"C91.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	135	4863300	2.8
	"Alabama"	"01"	"2016"	"2016"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Myeloid leukaemia, unspecified - Malignant neoplasms"	"C92.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	86	4863300	1.8
	"Alabama"	"01"	"2016"	"2016"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	71	4863300	1.5
	"Alabama"	"01"	"2016"	"2016"	"Meninges, unspecified - Benign neoplasms"	"D32.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	26	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	105	4863300	2.2
	"Alabama"	"01"	"2016"	"2016"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Sickle-cell anaemia without crisis"	"D57.1"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Aplastic anaemia, unspecified"	"D61.9"	23	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Acute posthaemorrhagic anaemia"	"D62"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Anaemia, unspecified"	"D64.9"	41	4863300	0.8
	"Alabama"	"01"	"2016"	"2016"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Coagulation defect, unspecified"	"D68.9"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Agranulocytosis"	"D70"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Sarcoidosis, unspecified"	"D86.9"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Hypothyroidism, unspecified"	"E03.9"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Insulin-dependent diabetes mellitus, with renal complications"	"E10.2"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	13	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	90	4863300	1.9
	"Alabama"	"01"	"2016"	"2016"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	159	4863300	3.3
	"Alabama"	"01"	"2016"	"2016"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	67	4863300	1.4
	"Alabama"	"01"	"2016"	"2016"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	166	4863300	3.4
	"Alabama"	"01"	"2016"	"2016"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Unspecified diabetes mellitus, without complications"	"E14.9"	565	4863300	11.6
	"Alabama"	"01"	"2016"	"2016"	"Hypoglycaemia, unspecified"	"E16.2"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Unspecified severe protein-energy malnutrition"	"E43"	58	4863300	1.2
	"Alabama"	"01"	"2016"	"2016"	"Unspecified protein-energy malnutrition"	"E46"	107	4863300	2.2
	"Alabama"	"01"	"2016"	"2016"	"Other obesity"	"E66.8"	54	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Obesity, unspecified"	"E66.9"	32	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Pure hypercholesterolaemia"	"E78.0"	22	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Hyperlipidaemia, unspecified"	"E78.5"	71	4863300	1.5
	"Alabama"	"01"	"2016"	"2016"	"Organ-limited amyloidosis"	"E85.4"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Volume depletion"	"E86"	28	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Hyperosmolality and hypernatraemia"	"E87.0"	26	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Acidosis"	"E87.2"	51	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Hyperkalaemia"	"E87.5"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Metabolic disorder, unspecified"	"E88.9"	50	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Vascular dementia, unspecified"	"F01.9"	183	4863300	3.8
	"Alabama"	"01"	"2016"	"2016"	"Unspecified dementia"	"F03"	1522	4863300	31.3
	"Alabama"	"01"	"2016"	"2016"	"Delirium, unspecified"	"F05.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	31	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	47	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	54	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	27	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Depressive episode, unspecified"	"F32.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Huntington disease"	"G10"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Motor neuron disease"	"G12.2"	94	4863300	1.9
	"Alabama"	"01"	"2016"	"2016"	"Parkinson disease"	"G20"	499	4863300	10.3
	"Alabama"	"01"	"2016"	"2016"	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"	"G23.1"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Alzheimer disease with late onset"	"G30.1"	36	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Alzheimer disease, unspecified"	"G30.9"	2470	4863300	50.8
	"Alabama"	"01"	"2016"	"2016"	"Circumscribed brain atrophy"	"G31.0"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	283	4863300	5.8
	"Alabama"	"01"	"2016"	"2016"	"Other specified degenerative diseases of nervous system"	"G31.8"	64	4863300	1.3
	"Alabama"	"01"	"2016"	"2016"	"Degenerative disease of nervous system, unspecified"	"G31.9"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Multiple sclerosis"	"G35"	47	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Epilepsy, unspecified"	"G40.9"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Status epilepticus, unspecified"	"G41.9"	24	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Sleep apnoea"	"G47.3"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Myasthenia gravis"	"G70.0"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Muscular dystrophy"	"G71.0"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Infantile cerebral palsy, unspecified"	"G80.9"	48	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Hemiplegia, unspecified"	"G81.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Paraplegia, unspecified"	"G82.2"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Tetraplegia, unspecified"	"G82.5"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Hydrocephalus, unspecified"	"G91.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	214	4863300	4.4
	"Alabama"	"01"	"2016"	"2016"	"Encephalopathy, unspecified"	"G93.4"	123	4863300	2.5
	"Alabama"	"01"	"2016"	"2016"	"Disorder of brain, unspecified"	"G93.9"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Essential (primary) hypertension"	"I10"	411	4863300	8.5
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	178	4863300	3.7
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	296	4863300	6.1
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive renal disease with renal failure"	"I12.0"	133	4863300	2.7
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive renal disease without renal failure"	"I12.9"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	35	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	34	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Acute subendocardial myocardial infarction"	"I21.4"	54	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Acute myocardial infarction, unspecified"	"I21.9"	1765	4863300	36.3
	"Alabama"	"01"	"2016"	"2016"	"Acute ischaemic heart disease, unspecified"	"I24.9"	31	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	730	4863300	15.0
	"Alabama"	"01"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	1611	4863300	33.1
	"Alabama"	"01"	"2016"	"2016"	"Ischaemic cardiomyopathy"	"I25.5"	154	4863300	3.2
	"Alabama"	"01"	"2016"	"2016"	"Other forms of chronic ischaemic heart disease"	"I25.8"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	672	4863300	13.8
	"Alabama"	"01"	"2016"	"2016"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	222	4863300	4.6
	"Alabama"	"01"	"2016"	"2016"	"Primary pulmonary hypertension"	"I27.0"	17	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Other secondary pulmonary hypertension"	"I27.2"	92	4863300	1.9
	"Alabama"	"01"	"2016"	"2016"	"Pulmonary heart disease, unspecified"	"I27.9"	35	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Acute and subacute infective endocarditis"	"I33.0"	30	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Mitral (valve) insufficiency"	"I34.0"	29	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Aortic (valve) stenosis"	"I35.0"	103	4863300	2.1
	"Alabama"	"01"	"2016"	"2016"	"Aortic valve disorder, unspecified"	"I35.9"	13	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Endocarditis, valve unspecified"	"I38"	78	4863300	1.6
	"Alabama"	"01"	"2016"	"2016"	"Dilated cardiomyopathy"	"I42.0"	42	4863300	0.9
	"Alabama"	"01"	"2016"	"2016"	"Cardiomyopathy, unspecified"	"I42.9"	202	4863300	4.2
	"Alabama"	"01"	"2016"	"2016"	"Other specified conduction disorders"	"I45.8"	38	4863300	0.8
	"Alabama"	"01"	"2016"	"2016"	"Sudden cardiac death, so described"	"I46.1"	279	4863300	5.7
	"Alabama"	"01"	"2016"	"2016"	"Cardiac arrest, unspecified"	"I46.9"	1643	4863300	33.8
	"Alabama"	"01"	"2016"	"2016"	"Ventricular tachycardia"	"I47.2"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Atrial fibrillation and flutter"	"I48"	362	4863300	7.4
	"Alabama"	"01"	"2016"	"2016"	"Ventricular fibrillation and flutter"	"I49.0"	48	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Cardiac arrhythmia, unspecified"	"I49.9"	432	4863300	8.9
	"Alabama"	"01"	"2016"	"2016"	"Congestive heart failure"	"I50.0"	2060	4863300	42.4
	"Alabama"	"01"	"2016"	"2016"	"Left ventricular failure"	"I50.1"	24	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Heart failure, unspecified"	"I50.9"	457	4863300	9.4
	"Alabama"	"01"	"2016"	"2016"	"Cardiovascular disease, unspecified"	"I51.6"	253	4863300	5.2
	"Alabama"	"01"	"2016"	"2016"	"Cardiomegaly"	"I51.7"	24	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Other ill-defined heart diseases"	"I51.8"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Heart disease, unspecified"	"I51.9"	597	4863300	12.3
	"Alabama"	"01"	"2016"	"2016"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	59	4863300	1.2
	"Alabama"	"01"	"2016"	"2016"	"Intracerebral haemorrhage in hemisphere, unspecified"	"I61.2"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Intracerebral haemorrhage in brain stem"	"I61.3"	26	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Intracerebral haemorrhage, unspecified"	"I61.9"	239	4863300	4.9
	"Alabama"	"01"	"2016"	"2016"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	101	4863300	2.1
	"Alabama"	"01"	"2016"	"2016"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	188	4863300	3.9
	"Alabama"	"01"	"2016"	"2016"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	25	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Other cerebral infarction"	"I63.8"	34	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Cerebral infarction, unspecified"	"I63.9"	230	4863300	4.7
	"Alabama"	"01"	"2016"	"2016"	"Stroke, not specified as haemorrhage or infarction"	"I64"	1202	4863300	24.7
	"Alabama"	"01"	"2016"	"2016"	"Cerebral aneurysm, nonruptured"	"I67.1"	28	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Cerebral atherosclerosis"	"I67.2"	217	4863300	4.5
	"Alabama"	"01"	"2016"	"2016"	"Other specified cerebrovascular diseases"	"I67.8"	114	4863300	2.3
	"Alabama"	"01"	"2016"	"2016"	"Cerebrovascular disease, unspecified"	"I67.9"	213	4863300	4.4
	"Alabama"	"01"	"2016"	"2016"	"Sequelae of cerebral infarction"	"I69.3"	31	4863300	0.6
	"Alabama"	"01"	"2016"	"2016"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	110	4863300	2.3
	"Alabama"	"01"	"2016"	"2016"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	56	4863300	1.2
	"Alabama"	"01"	"2016"	"2016"	"Generalized and unspecified atherosclerosis"	"I70.9"	102	4863300	2.1
	"Alabama"	"01"	"2016"	"2016"	"Dissection of aorta [any part]"	"I71.0"	51	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	25	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	24	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	14	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Aneurysm of unspecified site"	"I72.9"	15	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Peripheral vascular disease, unspecified"	"I73.9"	82	4863300	1.7
	"Alabama"	"01"	"2016"	"2016"	"Embolism and thrombosis of unspecified artery"	"I74.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	22	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Hypotension, unspecified"	"I95.9"	16	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Other and unspecified disorders of circulatory system"	"I99"	69	4863300	1.4
	"Alabama"	"01"	"2016"	"2016"	"Pneumonia due to Streptococcus pneumoniae"	"J13"	50	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"Pneumonia due to staphylococcus"	"J15.2"	15	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Bacterial pneumonia, unspecified"	"J15.9"	23	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Bronchopneumonia, unspecified"	"J18.0"	19	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	834	4863300	17.1
